OSNR_dB,CNN,SVM,kNN
5,0.7956,0.7222,0.7422
6,0.8778,0.7333,0.7000
7,0.8733,0.7000,0.6800
8,0.9022,0.6822,0.6467
9,0.9289,0.7156,0.6311
10,0.9644,0.7756,0.6889
11,0.9933,0.7978,0.6644
12,1.0000,0.8422,0.7378
13,0.9978,0.9289,0.7778
14,1.0000,0.9556,0.9000
15,1.0000,0.9822,0.9622
16,1.0000,0.9844,0.9800
17,1.0000,0.9867,0.9911
18,1.0000,0.9933,0.9844
19,1.0000,0.9956,0.9956
20,1.0000,0.9956,0.9978
21,1.0000,1.0000,1.0000
22,1.0000,1.0000,1.0000
23,1.0000,1.0000,1.0000
24,1.0000,0.9978,0.9978
25,1.0000,1.0000,1.0000
